,Company Name,Twitter ID,Followers Count,Friends Count,Verified
0,Dole Tweets,@DoleTweets,16141,677,True
1,Colgate-Palmolive,@CP_News,34070,562,False
2,Welbilt,@WelbiltInc,4295,708,False
3,BEHR Paint,@BehrPaint,29958,581,True
4,Northrop Grumman,@northropgrumman,211744,668,True
5,Sally Beauty,@SallyBeauty,64432,81,True
6,Great Lakes Cheese,@GrtLakesCheese,669,274,False
7,Advanced Technology Services (ATS),@AdvancedTechATS,958,1671,False
8,King's Hawaiian,@KingsHawaiian,16570,4434,True
9,Sam Schwartz,@SamSchwartzEng,1316,648,False
10,GhirardelliChocolate,@LoveGhirardelli,18375,1603,True
11,Agilent Technologies,@Agilent,26131,66,False
12,Blue Buffalo,@bluebuffalo,14412,3020,True
13,Uline,@uline,3845,3,False
14,WAXIE,@WAXIEbuzz,2186,1294,False
15,Cenero,@CeneroAV,543,399,False
16,Kroger,@kroger,159888,276,True
17,Telaid,@TeamTelaid,105,234,False
18,Natera,@NateraGenetics,14996,16337,False
19,Herdt Consulting,@HerdtConsulting,63,50,False
20,Sonos,@Sonos,157692,10174,True
21,MODE Transportation,@MODETrans,797,936,False
22,AmerisourceBergen,@Healthcare_ABC,4783,387,False
23,Power Design,@PowerDesignInc,807,382,False
24,FEMA,@fema,809843,724,True
25,ORBIS Corporation,@orbiscorp,809,409,False
26,ManTech,@ManTech,3517,352,False
27,Ready Pac Foods,@readypacfoods,6176,1195,False
28,Ferrara,@FerraraUSA,4526,4384,False
29,Alliance Solutions G,@alliancesg,361,266,False
30,Scotts Miracle-Gro,@Scotts_MGro,6485,3359,True
31,Lumentum,@Lumentum,1179,171,False
32,miltenyibiotec,@miltenyibiotec,8181,940,False
33,bioMérieux,@biomerieux,6512,808,False
34,Essilor Group,@Essilor,14818,146,False
35,CME Group,@CMEGroup,693928,6501,True
36,MISUMI USA,@usa_misumi,1940,1612,False
37,ICON Health Club,@ICONHealthClub,952,278,False
38,HairClub,@HairClub,4758,2569,False
39,charliesproduce,@CharliesProduce,831,576,False
40,Ecolab,@Ecolab,16857,1241,True
41,UNFI,@UNFI,8335,601,False
42,Henkel,@Henkel,19615,65,True
43,Driscoll's Berries,@driscollsberry,22237,4575,True
44,Stevens Industries,@Stevens_Ind,467,1308,False
45,Caddell Construction,@CaddellConst,343,182,False
46,Sabra,@Sabra,20719,6456,True
47,Bimeda,@Bimeda_Ireland,368,181,False
48,Facebook,@Facebook,13460372,728,True
49,Arthrex,@Arthrex,6357,219,False
50,Kelly,@KellyServices,12593,962,True
51,Perfect Day,@PerfectDayFoods,4123,359,False
52,Honeywell,@honeywell,53742,317,True
53,Philz Coffee,@PhilzCoffee,25385,8103,True
54,FreedomPay,@freedompay,869,1027,False
55,Duluth Trading Co.,@DuluthTradingCo,15362,756,True
56,Perrigo Company plc,@PerrigoCompany,738,41,False
57,mGage,@mGageLLC,4305,4407,False
58,Belden Inc.,@BeldenInc,5246,1562,False
59,Saint-Gobain,@saintgobain,21009,1781,True
60,Daktronics,@Daktronics,7797,1384,False
61,GAF Roofing,@gafroofing,19052,5290,True
62,Northstone,@NorthstoneInc,67,45,False
63,Campbell Soup Co,@CampbellSoupCo,92923,51,True
64,Perfetti Van Melle Official,@PVM_Official,421,66,False
65,Arrow Electronics,@ArrowGlobal,26635,1574,True
66,Lockheed Martin,@LockheedMartin,429651,450,True
67,RB,@discoverRB,18599,2005,True
68,Sparton Corporation,@SpartonCorp,433,195,False
69,Adient,@Adient,10131,583,True
70,Cook Children's,@CookChildrens,17475,7111,True
71,Lexington Medical,@LexMedCtr,5625,2394,False
72,Coyote Logistics,@CoyoteLogistics,8409,2023,False
73,CambridgeSystematics,@Camsys,1237,274,False
74,miltenyibiotec,@miltenyibiotec,8181,940,False
75,Cargill,@Cargill,54750,264,True
76,Randstad USA,@RandstadUSA,17019,8344,False
77,TOMS,@TOMS,1911075,185760,True
78,FLUX,@FLUX_AHF,118,91,False
79,Inframark,@PurePartnership,488,84,False
80,Amazon,@amazon,3271498,50,True
81,BVI,@BVIMedical,63,21,False
82,Intellipro Group Inc,@IntelliproGroup,9,2,False
83,Collabera,@Collabera,2375,1214,False
84,Johnsonville,@Johnsonville,28060,13932,True
85,Triumph Group,@TriumphGroup,783,62,False
86,Devoted Health,@DevotedHealth,2195,26,False
87,Quality Consulting,@CareersQCG,56,30,False
88,Avanos Medical,@AvanosMedical,273,23,False
