,Company Name,Twitter ID,Followers Count,Friends Count,Verified
0,Insight Enterprises,@InsightEnt,5686,935,TRUE
1,Co-op Finance,@coop_finance,4003,942,FALSE
2,Raycon,@rayconglobal,2397,33,FALSE
3,Uline,@uline,3845,3,FALSE
4,Success Academy,@SuccessCharters,11231,1488,TRUE
5,CAPSLO,@CAP_slo,118,435,FALSE
6,Beazley Group,@BeazleyGroup,4887,231,FALSE
7,C&L Aviation Group,@CLAviationGroup,560,148,FALSE
8,Gensco,@genscoinc,101,8,FALSE
9,Cenlar FSB,@CenlarFSB,92,9,FALSE
10,Comscore,@Comscore,136782,28480,TRUE
11,Airgas,@airgas,2205,191,FALSE
12,Intrado Digital Media,@IntradoDigital,361,79,FALSE
13,IEHP,@IEHP_healthcare,1216,1053,FALSE
14,BankUnited,@BankUnited,5446,305,FALSE
15,Innovyze,@Innovyze,1661,1959,FALSE
16,Argo Group,@argo_group,10895,768,TRUE
17,American Family Insurance,@amfam,42858,4450,TRUE
18,DentaQuest,@DentaQuest,3830,2502,TRUE
19,Peraton,@PeratonCorp,1295,104,FALSE
20,TennCare,@TennCareRep,1180,122,FALSE
21,Associated Electric,@AssociatedEC,96,28,FALSE
22,Quotient,@quotient,897,1588,FALSE
23,Revantage Corporate Services,@RevantageS,17,4,FALSE
24,BankUnited,@BankUnited,5446,305,FALSE
25,Spectrum Health,@SpectrumHealth,12633,1413,FALSE
26,JDRF,@JDRF,63034,1791,TRUE
27,Honda Aircraft Co.,@hondajet,9986,195,TRUE
28,National Insurance,@NICLofficial,2647,89,FALSE
29,Navy Federal,@NavyFederal,81487,351,TRUE
30,DRB Systems,@tunneldrb,132,81,FALSE
31,NCSOFT,@NCSOFT_West,37436,63,FALSE
32,CALIBRE Systems,@CALIBRE_Systems,55,167,FALSE
33,Guardian Life,@guardianlife,11780,86,TRUE
34,Veritone,@veritoneinc,3607,2548,FALSE
35,PrecisionHawk,@PrecisionHawk,13776,1066,FALSE
36,Airship,@airship,12694,8203,TRUE
37,Envision IT,@envisionitllc,76,25,FALSE
38,FHLBank Pittsburgh,@FHLBankPgh,334,161,FALSE
39,Urban Science,@Urban_Science,283,365,FALSE
40,AllianceBernstein (AB),@AB_insights,22657,813,TRUE
41,Twitch,@Twitch,6452958,666,TRUE
42,Intuitive Research,@its_intuitive,199,67,FALSE
43,Cogo Labs 🚀,@CogoLabs,1493,1138,FALSE
44,CNA,@CNA_org,5840,1414,FALSE
45,NEPC,@NEPCtweet,6637,1920,FALSE
46,Centric Consulting,@centric,2037,1309,FALSE
47,Ascension,@Ascensionorg,6690,391,FALSE
48,Peterson Technology Partners,@PTPChicago,782,722,FALSE
49,GreatAmerica OEG,@greatamericaOEG,1096,511,FALSE
50,Smith,@smithweb,1813,1523,FALSE
51,Life360,@Life360,14871,7970,TRUE
52,National Interstate Insurance,@NATLCareers,897,4182,FALSE
53,iSeatz,@iSeatzcom,452,675,FALSE
54,MobilityWare,@MobilityWare,5407,181,FALSE
55,Axiom Healthcare Strategies,@axiomhcs,58,100,FALSE
56,WA Healthplanfinder,@WAplanfinder,3633,2466,TRUE
57,Johns Hopkins Medicine,@HopkinsMedicine,582197,903,TRUE
58,Western Asset,@WesternAsset,989,46,FALSE
59,Powersolv Inc.,@PowersolvInc,7,3,FALSE
60,PatientPoint,@patientpoint,3810,3213,FALSE
61,KIPP New Jersey,@KIPPNJ,1724,449,FALSE
62,Jam City,@JamCityHQ,23915,779,TRUE
63,PenFed Credit Union,@PenFed,4483,886,TRUE
64,TriNet,@TriNet,28714,308,TRUE
65,Torch Technologies,@TorchHuntsville,582,239,FALSE
66,PepsiCo,@PepsiCo,343178,12933,TRUE
67,CircleCI,@CircleCI,40760,5424,TRUE
68,Essential,@essential,63333,19,TRUE
69,Intuitive,@IntuitiveSurg,7523,186,FALSE
70,CenturyLink,@CenturyLink,35916,453,TRUE
