Count,Player Name,Twitter ID,Followers Count,Friends Count,Verified
1,Angie's List, @AngiesList,38643,2997,TRUE
2,Octagon, @Octagon,17406,935,TRUE
3,Gensco, @genscoinc,101,8,FALSE
4,Farelogix Inc., @Farelogix,2455,1277,FALSE
5,Carilion Clinic, @CarilionClinic,6634,980,FALSE
6,"Equiscript, LLC", @Equiscript,428,1034,FALSE
7,BCBSA Tweets, @BCBSAssociation,28047,2455,TRUE
8,LogicSource, @LogicSource,303,378,FALSE
9,Northrop Grumman, @northropgrumman,211742,668,TRUE
10,NewDay USA, @NewDayUSA,498,213,FALSE
11,SargentoCheese, @SargentoCheese,21049,549,TRUE
12,ITC Defense Corp., @itc_defense,383,962,FALSE
13,KSM Consulting, @KSM_Consulting,1141,1146,FALSE
14,Evolve IP, @EvolveIP,3176,3556,FALSE
15,Dayton Freight, @DaytonFreight,909,169,FALSE
16,Investors Title, @invtitle,12,4,FALSE
17,Light Collective, @lightcollective,6799,608,FALSE
18,Avian, @ThisizAvian,498,315,FALSE
19,Arteriors, @ArteriorsHome,15218,1730,FALSE
20,Sphere standards, @SpherePro,8399,1859,FALSE
21,JDRF, @JDRF,63034,1791,TRUE
22,Qualifacts Systems, @Qualifacts,758,411,FALSE
23,CareFirst BlueCross BlueShield, @CareFirst,4865,1439,FALSE
24,Equitable, @EquitableFin,15957,985,TRUE
25,Belcampo, @Belcampoinc,423,190,FALSE
26,Planet Fitness, @PlanetFitness,149967,9122,TRUE
27,Ecolab, @Ecolab,16857,1241,TRUE
28,Uline, @uline,3845,3,FALSE
29,Hargray, @HargrayComm,975,313,FALSE
30,Fluidigm, @fluidigm,6403,2848,FALSE
31,USDM Life Sciences, @USDMLifeScience,284,235,FALSE
32,Northwestern Mutual, @NMCareers,517,432,FALSE
33,The MIL Corporation, @TheMILCorp,109,79,FALSE
34,"TSCTI, Inc.", @tscti1997,107,47,FALSE
35,Willis Towers Watson, @WTWcorporate,5551,95,FALSE
36,LeanData, @LeanData,3271,4472,FALSE
37,US Auto Parts, @usautoparts,1210,69,FALSE
38,Perfecta, @PerfectaISRC,87,198,FALSE
39,U.Group, @UGroupSocial,2912,2044,FALSE
40,T-Mobile, @TMobile,1232833,12756,TRUE
41,FRT Services, @FRTservices,131,295,FALSE
42,Centric Consulting, @centric,2037,1309,FALSE
43,Oregon Mutual Ins., @OregonMutual,364,126,FALSE
44,Wichita Tribe, @Wichita_Tribe,442,56,FALSE
45,The MIL Corporation, @TheMILCorp,109,79,FALSE
46,Tabner Inc, @Tabnerglobal,43,101,FALSE
47,Treehouse, @treehouse,148092,844,TRUE
48,Hargray, @HargrayComm,975,313,FALSE
49,Evoqua, @evoqua,1229,20,FALSE
50,VRI Resorts, @VRIVacations,304,166,FALSE
51,nmfinancial, @nmfinancial,9049,62,TRUE
52,IEEFA.org, @ieefa_institute,5326,849,FALSE
53,Sunnova Energy, @Sunnova_Solar,1591,1343,FALSE
54,duckcreektech, @DuckCreekTech,2681,818,FALSE
55,Revenue Solutions, @revenuesol,17,126,FALSE
56,ReedGroup, @ReedGrp,589,355,FALSE
57,Airgas, @airgas,2205,191,FALSE
58,SEP_LA, @StrategicEmp,30,61,FALSE
59,FHLBC, @FHLBC,566,330,FALSE
60,Insight Enterprises, @InsightEnt,5686,935,TRUE
61,Skyline Chili, @Skyline_Chili,43280,1297,TRUE
62,Positec Tool Corp., @Positec,127,93,FALSE
63,The MIL Corporation, @TheMILCorp,109,79,FALSE
64,"HM Electronics, Inc.", @HME_Drive_Thru,183,557,FALSE
65,JRNI, @JRNI_inc,2342,1307,FALSE
66,HRUCKUS, @hruckus,11,7,FALSE
67,Mortgage Center, @Mortgage_Center,94,122,FALSE
68,Lincoln Financial, @lincolnfingroup,9489,245,TRUE
69,"Group O, Inc.", @GroupOInc,479,666,FALSE
70,Terakeet, @Terakeet,1320,661,FALSE
71,Thornburg Funds, @ThornburgFunds,19023,497,TRUE
72,Dendreon Pharmaceuticals, @DendreonNews,2497,1043,FALSE
73,Radius Global, @Radius_Global,101,77,FALSE
74,CO-OP FS, @COOPFS,15803,6632,FALSE
75,CAPSLO HR, @CAPSLO_HR,371,387,FALSE
76,Willis Towers Watson, @WTWcorporate,5551,95,FALSE
77,Harbor Freight Tools, @HarborFreight,34093,318,TRUE
78,MorganFranklin, @MorganFranklin,1184,1667,FALSE
79,Red Collar Pet Food, @RedCollarPet,8,0,FALSE
80,ECRI Institute Asia Pacific, @ECRI_AsiaPac,22,3,FALSE
81,Triumph Group, @TriumphGroup,783,62,FALSE
82,BEHR Paint, @BehrPaint,29959,581,TRUE
83,EastBancTech, @EastBancTech,2337,493,FALSE
84,Navy Federal, @NavyFederal,81487,351,TRUE
85,Powersolv Inc., @PowersolvInc,7,3,FALSE
86,Market Traders (MTI), @MarketTraders,6788,26,FALSE
87,ManTech, @ManTech,3517,352,FALSE
88,TIBCO, @TIBCO,21330,4210,TRUE
89,Ciber Global, @ciberglobal,4206,2755,FALSE
90,Medidata, @Medidata,10526,4114,FALSE
91,USDM Life Sciences, @USDMLifeScience,284,235,FALSE
92,The MIL Corporation, @TheMILCorp,109,79,FALSE
93,UNFI, @UNFI,8335,601,FALSE
94,Campus Management, @CampusMgmt,952,539,FALSE
95,"S3, Inc.", @S3Inc,47,34,FALSE
96,Empower Retirement, @EmpowerToday,42420,175,TRUE
